,sid,grp,tid,pc1
314,124,0,3,0.8007270790246831
452,124,0,4,0.5277262496839694
315,126,0,3,0.7886168780293158
176,126,0,2,0.5223691972943824
38,126,0,1,0.9310153521691983
453,126,0,4,0.43164247404081835
177,130,0,2,0.6420850186695791
316,130,0,3,0.6438146067360497
39,130,0,1,0.913871027303562
454,130,0,4,0.6106987286326093
178,131,0,2,0.9068922027046404
455,131,0,4,0.4967368490095763
40,131,0,1,0.5753846174017125
317,131,0,3,0.608351225369357
318,135,0,3,0.5376484521625455
41,135,0,1,0.989271259175607
179,135,0,2,0.572420766278486
42,138,0,1,1.0
180,138,0,2,0.809927731512292
456,138,0,4,0.22094694501741213
319,138,0,3,0.7348386529594901
43,139,0,1,0.9464890837728208
181,139,0,2,1.0
457,139,0,4,0.5931706432766468
320,139,0,3,0.7068668679595183
44,144,0,1,0.7679580345425951
321,144,0,3,0.46024048810255563
458,144,0,4,0.3427001551356916
182,144,0,2,0.550387789373696
322,149,0,3,0.7765044373732489
183,149,0,2,0.6970954591317359
45,149,0,1,0.658284025681024
459,149,0,4,0.35845139708776075
460,151,0,4,0.6569851019428217
184,151,0,2,0.98494377379549
323,151,0,3,0.7849296501467452
46,151,0,1,0.8961230320837535
461,154,1,4,0.538349281767723
185,154,1,2,0.9099662653988
324,154,1,3,0.6445216004467856
47,154,1,1,0.3808562950861376
325,155,1,3,0.4583881066257294
186,155,1,2,0.96452040304859
462,155,1,4,0.44401471756134564
48,155,1,1,0.9984000000000001
463,156,1,4,0.6390016567076602
187,156,1,2,0.5725277632808256
49,156,1,1,0.688381457866752
326,156,1,3,0.5153468161159371
50,160,1,1,0.4880205793742609
327,160,1,3,0.6536607255295369
188,160,1,2,0.7958809497497613
464,160,1,4,0.4259574449241698
328,162,1,3,0.8327233457797195
189,162,1,2,0.9140570980178195
51,162,1,1,0.739448134560882
465,162,1,4,0.42629957416538383
466,164,1,4,0.3687198012812631
52,164,1,1,0.8939231931237499
329,164,1,3,0.5980925599220929
190,164,1,2,0.5797623129596208
467,168,1,4,0.4076035268615562
53,168,1,1,0.7452058818047318
330,168,1,3,0.6063683457103164
191,168,1,2,0.7413991101491101
54,169,1,1,1.0
331,169,1,3,0.3036761864419961
192,169,1,2,1.0
468,169,1,4,0.5111052128350554
193,171,1,2,1.0
55,171,1,1,0.7757367092293596
469,171,1,4,0.34832215281614937
332,171,1,3,0.6050666360874734
194,172,1,2,0.8953865681961657
56,172,1,1,0.96452040304859
