sid,grp,cnd,range,pc1,pc2,pc3,pc4,lrn1,lrn2,lrn3,lrn4
98,0,0,6,0.86666667,0.60000000,0.66666667,0.46666667,10.00000000,10.00000000,10.00000000,10.00000000
99,0,1,8,0.93333333,0.73333333,0.66666667,0.40000000,3.00000000,8.00000000,5.00000000,10.00000000
100,0,1,2,0.80000000,0.73333333,0.66666667,0.66666667,2.00000000,6.00000000,8.00000000,10.00000000
101,0,0,6,0.80000000,0.80000000,0.53333333,0.93333333,3.00000000,3.00000000,9.00000000,5.00000000
102,0,0,3,0.66666667,0.60000000,0.46666667,0.46666667,8.00000000,4.00000000,9.00000000,9.00000000
103,0,0,9,0.93333333,0.86666667,0.40000000,0.33333333,1.00000000,4.00000000,10.00000000,10.00000000
104,0,1,3,0.60000000,0.40000000,0.46666667,0.60000000,9.00000000,10.00000000,10.00000000,8.00000000
105,0,0,6,0.66666667,0.66666667,0.26666667,0.33333333,9.00000000,8.00000000,2.00000000,5.00000000
106,0,1,1,0.60000000,0.53333333,0.53333333,0.53333333,8.00000000,7.00000000,9.00000000,7.00000000
107,0,1,4,0.33333333,0.60000000,0.53333333,0.40000000,8.00000000,6.00000000,4.00000000,7.00000000
108,0,0,3,0.40000000,0.60000000,0.46666667,0.46666667,9.00000000,3.00000000,8.00000000,7.00000000
109,0,0,6,0.80000000,0.73333333,0.53333333,0.40000000,1.00000000,1.00000000,7.00000000,7.00000000
110,0,0,3,0.73333333,0.80000000,0.66666667,0.60000000,6.00000000,3.00000000,8.00000000,8.00000000
111,0,1,6,0.93333333,0.73333333,0.60000000,0.53333333,3.00000000,5.00000000,8.00000000,10.00000000
112,0,1,8,0.66666667,0.60000000,0.66666667,0.13333333,1.00000000,1.00000000,10.00000000,10.00000000
113,0,0,7,0.93333333,0.46666667,0.60000000,0.86666667,1.00000000,8.00000000,10.00000000,3.00000000
114,0,0,5,0.66666667,0.53333333,0.60000000,0.33333333,3.00000000,10.00000000,9.00000000,10.00000000
115,0,1,4,0.80000000,0.66666667,0.66666667,0.53333333,10.00000000,8.00000000,9.00000000,7.00000000
116,0,1,7,0.86666667,0.86666667,0.46666667,0.40000000,4.00000000,7.00000000,10.00000000,10.00000000
117,0,1,8,0.60000000,0.73333333,0.53333333,0.20000000,5.00000000,3.00000000,5.00000000,9.00000000
118,0,0,5,0.73333333,0.86666667,0.60000000,0.53333333,6.00000000,1.00000000,6.00000000,10.00000000
119,0,0,6,0.80000000,0.86666667,0.46666667,0.60000000,10.00000000,10.00000000,10.00000000,10.00000000
120,0,0,7,0.80000000,0.60000000,0.73333333,0.33333333,4.00000000,5.00000000,5.00000000,8.00000000
121,0,0,8,0.46666667,0.80000000,0.93333333,0.40000000,9.00000000,3.00000000,3.00000000,8.00000000
122,0,0,6,0.53333333,0.73333333,0.86666667,0.46666667,8.00000000,8.00000000,7.00000000,9.00000000
123,0,0,7,0.86666667,1.00000000,0.60000000,0.53333333,1.00000000,1.00000000,6.00000000,10.00000000
124,0,0,7,0.73333333,0.93333333,0.53333333,0.46666667,8.00000000,2.00000000,6.00000000,10.00000000
125,0,1,6,0.80000000,0.40000000,0.46666667,0.73333333,5.00000000,5.00000000,5.00000000,7.00000000
126,0,1,7,0.86666667,0.46666667,0.60000000,0.40000000,3.00000000,10.00000000,10.00000000,10.00000000
127,0,0,6,0.86666667,0.73333333,0.60000000,0.46666667,10.00000000,10.00000000,10.00000000,10.00000000
128,0,1,2,0.53333333,0.53333333,0.53333333,0.66666667,8.00000000,9.00000000,8.00000000,4.00000000
129,0,1,5,0.66666667,0.33333333,0.40000000,0.46666667,3.00000000,10.00000000,9.00000000,7.00000000
130,0,1,9,0.93333333,0.60000000,0.33333333,0.46666667,3.00000000,7.00000000,8.00000000,9.00000000
131,0,1,5,0.73333333,0.86666667,0.53333333,0.53333333,1.00000000,1.00000000,10.00000000,5.00000000
132,0,0,8,0.93333333,0.46666667,0.40000000,0.66666667,7.00000000,8.00000000,9.00000000,8.00000000
133,0,0,6,1.00000000,0.73333333,0.60000000,0.66666667,1.00000000,1.00000000,9.00000000,8.00000000
134,0,1,7,0.53333333,0.60000000,0.66666667,0.20000000,9.00000000,6.00000000,8.00000000,9.00000000
135,0,1,6,0.66666667,0.46666667,0.86666667,0.53333333,10.00000000,4.00000000,10.00000000,8.00000000
136,0,1,9,0.80000000,0.60000000,0.66666667,0.20000000,1.00000000,2.00000000,8.00000000,10.00000000
137,0,1,3,0.73333333,0.60000000,0.60000000,0.53333333,10.00000000,8.00000000,9.00000000,9.00000000
138,0,1,3,0.66666667,0.53333333,0.66666667,0.46666667,6.00000000,8.00000000,4.00000000,10.00000000
139,0,1,4,0.93333333,0.93333333,0.80000000,0.66666667,2.00000000,3.00000000,9.00000000,10.00000000
140,0,1,3,0.66666667,0.53333333,0.53333333,0.46666667,10.00000000,9.00000000,10.00000000,10.00000000
141,0,1,3,0.66666667,0.73333333,0.53333333,0.53333333,2.00000000,2.00000000,2.00000000,1.00000000
142,0,0,5,0.73333333,0.53333333,0.73333333,0.40000000,8.00000000,8.00000000,8.00000000,8.00000000
143,0,0,8,0.80000000,0.40000000,0.66666667,0.26666667,4.00000000,10.00000000,10.00000000,10.00000000
144,0,1,5,0.80000000,0.46666667,0.73333333,0.66666667,10.00000000,10.00000000,10.00000000,10.00000000
145,0,1,5,0.73333333,0.86666667,0.80000000,0.53333333,9.00000000,9.00000000,9.00000000,10.00000000
146,0,0,8,0.80000000,0.40000000,0.26666667,0.46666667,3.00000000,10.00000000,10.00000000,9.00000000
147,0,0,4,0.66666667,0.53333333,0.60000000,0.40000000,4.00000000,7.00000000,7.00000000,8.00000000
148,0,0,7,0.86666667,0.40000000,0.60000000,0.60000000,2.00000000,8.00000000,5.00000000,8.00000000
149,0,1,2,0.60000000,0.66666667,0.53333333,0.60000000,10.00000000,10.00000000,10.00000000,10.00000000
150,0,0,7,0.86666667,0.40000000,0.60000000,0.73333333,10.00000000,10.00000000,5.00000000,7.00000000
151,0,1,7,0.93333333,0.73333333,0.66666667,0.46666667,4.00000000,7.00000000,8.00000000,9.00000000
152,0,0,2,0.33333333,0.40000000,0.46666667,0.46666667,7.00000000,4.00000000,3.00000000,7.00000000
153,0,1,7,0.80000000,0.66666667,0.53333333,0.33333333,6.00000000,7.00000000,7.00000000,7.00000000
154,1,1,8,0.60000000,0.93333333,0.40000000,0.53333333,9.00000000,4.00000000,6.00000000,6.00000000
155,1,1,6,0.80000000,0.80000000,0.73333333,0.40000000,10.00000000,10.00000000,10.00000000,10.00000000
156,1,0,3,0.60000000,0.53333333,0.73333333,0.53333333,9.00000000,7.00000000,7.00000000,9.00000000
157,1,1,8,0.80000000,0.80000000,0.93333333,0.40000000,3.00000000,3.00000000,8.00000000,10.00000000
158,1,0,4,0.53333333,0.80000000,0.80000000,0.73333333,1.00000000,1.00000000,1.00000000,1.00000000
159,1,0,4,0.53333333,0.80000000,0.53333333,0.53333333,8.00000000,8.00000000,8.00000000,8.00000000
160,1,1,4,0.66666667,0.40000000,0.53333333,0.53333333,10.00000000,10.00000000,10.00000000,10.00000000
161,1,0,5,0.46666667,0.73333333,0.80000000,0.60000000,8.00000000,3.00000000,3.00000000,8.00000000
162,1,1,11,0.60000000,0.93333333,0.66666667,0.20000000,7.00000000,8.00000000,7.00000000,3.00000000
163,1,1,7,0.93333333,0.46666667,0.46666667,0.73333333,2.00000000,8.00000000,10.00000000,6.00000000
164,1,1,10,0.93333333,0.40000000,0.66666667,0.26666667,3.00000000,9.00000000,5.00000000,8.00000000
165,1,0,6,0.80000000,0.86666667,0.80000000,0.46666667,6.00000000,4.00000000,9.00000000,10.00000000
166,1,0,6,0.40000000,0.46666667,0.46666667,0.80000000,10.00000000,10.00000000,7.00000000,2.00000000
167,1,0,3,0.66666667,0.60000000,0.66666667,0.46666667,10.00000000,10.00000000,10.00000000,10.00000000
168,1,0,5,0.66666667,0.66666667,0.60000000,0.33333333,3.00000000,4.00000000,7.00000000,9.00000000
169,1,1,6,0.86666667,0.80000000,0.73333333,0.46666667,3.00000000,5.00000000,10.00000000,10.00000000
170,1,0,7,0.53333333,0.46666667,0.33333333,0.80000000,9.00000000,9.00000000,9.00000000,9.00000000
171,1,1,9,0.73333333,0.93333333,0.53333333,0.33333333,2.00000000,3.00000000,8.00000000,8.00000000
172,1,1,5,0.80000000,0.46666667,0.66666667,0.66666667,8.00000000,8.00000000,8.00000000,8.00000000
