sid,grp,cnd,fam,tid,tord,pc_grand,pc_first,pc_last,dpc,alltime,freetime,nblocks,avstreak,lrn,int,comp,time,prog,rule,lrn2,nlrn,nint,ncomp,ntime,nprog,nrule,nlrn2
164,S,i+,Squid,3_2D,1,0.725,0.6666666666666666,0.7333333333333333,0.06666666666666665,0.25806451612903225,0.26,2,32.5,5,8,3,8,10,10,1,-1.1071428571428568,1.8928571428571432,-3.1071428571428568,1.8928571428571432,3.8928571428571432,3.8928571428571432,-5.107142857142857
164,S,i+,Green,4_R,2,0.5054945054945055,0.26666666666666666,0.6666666666666666,0.39999999999999997,0.29354838709677417,0.304,3,25.333333333333332,8,10,10,10,1,2,8,1.8928571428571432,3.8928571428571432,3.8928571428571432,3.8928571428571432,-5.107142857142857,-4.107142857142857,1.8928571428571432
165,S,i-,Bear,1_1D,4,0.8,0.8,0.8,0.0,0.04838709677419355,0.0,0,0.0,6,1,1,1,10,10,1,0.10714285714285676,-4.892857142857143,-4.892857142857143,-4.892857142857143,4.107142857142857,4.107142857142857,-4.892857142857143
165,S,i-,Squid,2_I1D,2,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.0,0.04838709677419355,0.0,0,0.0,4,6,1,1,10,10,1,-1.8928571428571432,0.10714285714285676,-4.892857142857143,-4.892857142857143,4.107142857142857,4.107142857142857,-4.892857142857143
165,S,i-,Green,3_2D,3,0.5365853658536586,0.8,0.3333333333333333,0.0,0.13225806451612904,0.104,1,26.0,9,9,10,6,1,5,10,3.1071428571428568,3.1071428571428568,4.107142857142857,0.10714285714285676,-4.892857142857143,-0.8928571428571432,4.107142857142857
165,S,i-,Bunny,4_R,1,0.5564853556485355,0.4666666666666667,0.4666666666666667,0.0,0.7709677419354839,0.896,1,224.0,10,10,10,10,1,1,10,4.107142857142857,4.107142857142857,4.107142857142857,4.107142857142857,-4.892857142857143,-4.892857142857143,4.107142857142857
166,S,i-,Bunny,1_1D,4,0.4,0.4,0.4,0.0,0.04838709677419355,0.0,0,0.0,10,7,1,4,10,10,2,3.7142857142857144,0.7142857142857144,-5.285714285714286,-2.2857142857142856,3.7142857142857144,3.7142857142857144,-4.285714285714286
166,S,i-,Squid,2_I1D,3,0.8512396694214877,0.4666666666666667,1.0,0.5333333333333333,0.3903225806451613,0.424,1,106.0,10,10,1,3,10,10,1,3.7142857142857144,3.7142857142857144,-5.285714285714286,-3.2857142857142856,3.7142857142857144,3.7142857142857144,-5.285714285714286
166,S,i-,Bear,3_2D,1,0.4915254237288136,0.4666666666666667,0.4666666666666667,0.0,0.19032258064516128,0.176,1,44.0,7,6,10,6,5,8,5,0.7142857142857144,-0.2857142857142856,3.7142857142857144,-0.2857142857142856,-1.2857142857142856,1.7142857142857144,-1.2857142857142856
166,S,i-,Green,4_R,2,0.5217391304347826,0.8,0.4666666666666667,0.0,0.3709677419354839,0.4,1,100.0,2,2,10,10,3,4,9,-4.285714285714286,-4.285714285714286,3.7142857142857144,3.7142857142857144,-3.2857142857142856,-2.2857142857142856,2.7142857142857144
167,S,i-,Squid,1_1D,3,0.6329113924050633,0.6666666666666666,0.8666666666666667,0.20000000000000007,0.25483870967741934,0.256,1,64.0,10,6,6,9,9,9,10,1.8214285714285712,-2.178571428571429,-2.178571428571429,0.8214285714285712,0.8214285714285712,0.8214285714285712,1.8214285714285712
