"","sid","grp","trial","blkt","current","nxt","tord:1","tord:2","tord:3","tord:4","pct:1","pct:2","pct:3","pct:4","pc:1","pc:2","pc:3","pc:4","pcr:1","pcr:2","pcr:3","pcr:4","pval:1","pval:2","pval:3","pval:4","relt:1","relt:2","relt:3","relt:4","sc:1","sc:2","sc:3","sc:4","scsq:1","scsq:2","scsq:3","scsq:4","currentd:1","currentd:2","currentd:3","currentd:4","lrn:1","lrn:2","lrn:3","lrn:4","int:1","int:2","int:3","int:4","comp:1","comp:2","comp:3","comp:4","time:1","time:2","time:3","time:4","prog:1","prog:2","prog:3","prog:4","rule:1","rule:2","rule:3","rule:4","lrn2:1","lrn2:2","lrn2:3","lrn2:4"
"61968",247,1,74,14,"2","3",3,1,2,4,0.8,0.6,0.533333333333333,0.6,0.8,0.586206896551724,0.533333333333333,0.6,0.6,0.6,0,0.6,0.013885498046875,0.096663711592555,0.196380615234375,0.152740478515625,0.202702702702703,0.378378378378378,0.216216216216216,0.202702702702703,0,0.213793103448276,0.266666666666667,0.2,0,0.0457074910820452,0.0711111111111111,0.04,0,1,0,0,1,1,1,1,0,0,1,1,0,0.125,0.625,1,0,0,1,1,1,1,0,0.2,1,1,0,0,0,0,1,1
"61994",247,1,100,26,"3","4",3,1,2,4,0.8,0.6,0.533333333333333,0.6,0.8,0.586206896551724,0.634146341463415,0.6,0.6,0.6,0.6,0.6,0.013885498046875,0.096663711592555,0.028845658969658,0.152740478515625,0.15,0.28,0.41,0.16,0,0.213793103448276,0.165853658536585,0.2,0,0.0457074910820452,0.0275074360499703,0.04,0,0,1,0,1,1,1,1,0,0,1,1,0,0.125,0.625,1,0,0,1,1,1,1,0,0.2,1,1,0,0,0,0,1,1
"62014",247,1,120,20,"4","1",3,1,2,4,0.8,0.6,0.533333333333333,0.6,0.8,0.586206896551724,0.634146341463415,0.514285714285714,0.6,0.6,0.6,0.4,0.013885498046875,0.096663711592555,0.028845658969658,0.13206059957156,0.133333333333333,0.233333333333333,0.341666666666667,0.291666666666667,0,0.213793103448276,0.165853658536585,0.285714285714286,0,0.0457074910820452,0.0275074360499703,0.0816326530612245,0,0,0,1,1,1,1,1,0,0,1,1,0,0.125,0.625,1,0,0,1,1,1,1,0,0.2,1,1,0,0,0,0,1,1
"62036",247,1,142,22,"1","2",3,1,2,4,0.8,0.6,0.533333333333333,0.6,0.837837837837838,0.586206896551724,0.634146341463415,0.514285714285714,1,0.6,0.6,0.4,1.69150298461318e-05,0.096663711592555,0.028845658969658,0.13206059957156,0.26056338028169,0.204225352112676,0.288732394366197,0.246478873239437,-0.203691496374423,0.0479394449116906,0,0.1198606271777,0.0414902256952517,0.00229819037844101,0,0.0143665699474317,1,0,0,0,1,1,1,1,0,0,1,1,0,0.125,0.625,1,0,0,1,1,1,1,0,0.2,1,1,0,0,0,0,1,1
"62068",247,1,174,32,"2","3",3,1,2,4,0.8,0.6,0.533333333333333,0.6,0.837837837837838,0.655737704918033,0.634146341463415,0.514285714285714,1,1,0.6,0.4,1.69150298461318e-05,0.00528063280218781,0.028845658969658,0.13206059957156,0.21264367816092,0.344827586206897,0.241379310344828,0.201149425287356,-0.203691496374423,-0.0215913634546181,0,0.1198606271777,0.0414902256952517,0.000466186975829418,0,0.0143665699474317,0,1,0,0,1,1,1,1,0,0,1,1,0,0.125,0.625,1,0,0,1,1,1,1,0,0.2,1,1,0,0,0,0,1,1
"62105",247,1,211,37,"3","4",3,1,2,4,0.8,0.6,0.533333333333333,0.6,0.837837837837838,0.655737704918033,0.576923076923077,0.514285714285714,1,1,0.4,0.4,1.69150298461318e-05,0.00528063280218781,0.0360722667906417,0.13206059957156,0.175355450236967,0.28436018957346,0.369668246445498,0.170616113744076,-0.260914760914761,-0.0788146279949559,0,0.0626373626373626,0.0680765124632069,0.00621174558598328,0,0.00392343919816447,0,0,1,0,1,1,1,1,0,0,1,1,0,0.125,0.625,1,0,0,1,1,1,1,0,0.2,1,1,0,0,0,0,1,1
"62133",247,1,239,28,"4","1",3,1,2,4,0.8,0.6,0.533333333333333,0.6,0.837837837837838,0.655737704918033,0.576923076923077,0.444444444444444,1,1,0.4,0.2,1.69150298461318e-05,0.00528063280218781,0.0360722667906417,0.0682297414968848,0.158995815899582,0.251046025104602,0.326359832635983,0.263598326359833,-0.260914760914761,-0.0788146279949559,0,0.132478632478632,0.0680765124632069,0.00621174558598328,0,0.0175505880634086,0,0,0,1,1,1,1,1,0,0,1,1,0,0.125,0.625,1,0,0,1,1,1,1,0,0.2,1,1,0,0,0,0,1,1
"62159",247,1,265,26,"1","3",3,1,2,4,0.8,0.6,0.533333333333333,0.6,0.873015873015873,0.655737704918033,0.576923076923077,0.444444444444444,1,1,0.4,0.2,4.19900084429499e-10,0.00528063280218781,0.0360722667906417,0.0682297414968848,0.237735849056604,0.226415094339623,0.29811320754717,0.237735849056604,-0.296092796092796,-0.0788146279949559,0,0.132478632478632,0.0876709438980502,0.00621174558598328,0,0.0175505880634086,1,0,0,0,1,1,1,1,0,0,1,1,0,0.125,0.625,1,0,0,1,1,1,1,0,0.2,1,1,0,0,0,0,1,1
"62184",247,1,290,25,"3","4",3,1,2,4,0.8,0.6,0.533333333333333,0.6,0.873015873015873,0.655737704918033,0.563106796116505,0.444444444444444,1,1,0.2,0.2,4.19900084429499e-10,0.00528063280218781,0.034728771684117,0.0682297414968848,0.217241379310345,0.206896551724138,0.355172413793103,0.220689655172414,-0.309909076899368,-0.0926309088015279,0,0.11866235167206,0.0960436359446185,0.00858048526539698,0,0.0140807537043437,0,0,1,0,1,1,1,1,0,0,1,1,0,0.125,0.625,1,0,0,1,1,1,1,0,0.2,1,1,0,0,0,0,1,1
"62229",248,1,85,25,"2","4",2,3,1,4,0.666666666666667,0.266666666666667,0.666666666666667,0.2,0.666666666666667,0.575,0.666666666666667,0.2,0.8,1,0.8,0.2,0.091644287109375,0.0807016283943085,0.091644287109375,0.013885498046875,0.176470588235294,0.458823529411765,0.176470588235294,0.188235294117647,0,0.0916666666666667,0,0.466666666666667,0,0.00840277777777778,0,0.217777777777778,0,1,0,0,0,1,0,1,0,0,0,1,0,0.222222222222222,0.555555555555556,1,0,0.5,0.166666666666667,1,1,0.75,0.875,0,1,1,1,0,0,0,0,1
"62262",248,1,118,33,"4","3",2,3,1,4,0.666666666666667,0.266666666666667,0.666666666666667,0.2,0.666666666666667,0.575,0.666666666666667,0.4375,0.8,1,0.8,1,0.091644287109375,0.0807016283943085,0.091644287109375,0.0792761030742213,0.127118644067797,0.330508474576271,0.135593220338983,0.406779661016949,0,0.0916666666666667,0,0.229166666666667,0,0.00840277777777778,0,0.0525173611111111,0,0,0,1,0,1,0,1,0,0,0,1,0,0.222222222222222,0.555555555555556,1,0,0.5,0.166666666666667,1,1,0.75,0.875,0,1,1,1,0,0,0,0,1
