"","form","nvars","sing","loglik","mfR2","accuracy","AIC","BIC","xtime"
"524127","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + scsq + lrn + comp + time + prog + rule + lrn2 | trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.092"
"524128","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + scsq + lrn + comp + time + prog + rule | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.359"
"524129","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + scsq + lrn + comp + time + prog + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.096"
"524130","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + scsq + lrn + comp + time + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.342"
"524131","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + scsq + lrn + comp + prog + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.063"
"524132","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + scsq + lrn + time + prog + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.37"
"524133","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + scsq + int + comp + time + prog + rule + lrn2 | grp + trial","17","TRUE",NA,NA,NA,NA,NA,"0.06"
"524134","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + scsq + int + comp + time + prog + rule + lrn2 | grp + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.084"
"524135","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + scsq + int + comp + time + prog + rule + lrn2 | trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.06"
"524136","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + scsq + int + comp + time + prog + rule | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.119"
"524137","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + scsq + int + comp + time + prog + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.066"
"524138","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + scsq + int + comp + time + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.1"
"524139","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + scsq + int + comp + prog + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.065"
"524140","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + scsq + int + time + prog + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.099"
"524141","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + scsq + comp + time + prog + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.061"
"524142","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + lrn + int + comp + time + prog + rule + lrn2 | grp + trial","17","TRUE",NA,NA,NA,NA,NA,"0.313"
"524143","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + lrn + int + comp + time + prog + rule + lrn2 | grp + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.092"
"524144","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + lrn + int + comp + time + prog + rule + lrn2 | trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.341"
"524145","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + lrn + int + comp + time + prog + rule | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.064"
"524146","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + lrn + int + comp + time + prog + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.09"
"524147","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + lrn + int + comp + time + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.065"
"524148","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + lrn + int + comp + prog + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.347"
"524149","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + lrn + int + time + prog + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.062"
"524150","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + lrn + comp + time + prog + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.377"
"524151","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + sc + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.068"
"524152","nxt ~ currentd + tord + pct + pcr + pc + pval + relt + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + trial","17","FALSE","-2157.98849612212","0.264822245061885","0.472915685350918","4363.97699224424","4499.83104332512","0.913"
