,grp,sid,pre,post
75,0,75,0.5666666666666667,0.7222222222222222
76,0,76,0.5444444444444445,0.6888888888888889
77,0,77,0.5888888888888888,0.711111111111111
78,0,78,0.5888888888888888,0.6
79,0,79,0.7777777777777778,0.8333333333333334
80,0,80,0.7444444444444445,0.9444444444444444
81,0,81,0.5888888888888889,0.6888888888888889
82,0,82,0.5333333333333333,0.5777777777777777
83,0,83,0.4222222222222222,0.6444444444444444
84,0,84,0.8,0.6888888888888889
85,0,85,0.6222222222222222,0.5
86,0,86,0.6111111111111112,0.6444444444444444
87,0,87,0.4111111111111111,0.7666666666666666
88,0,88,0.4666666666666667,0.7444444444444445
89,0,89,0.7666666666666666,0.7444444444444445
90,0,90,0.5777777777777777,0.6444444444444444
91,0,91,0.6888888888888889,0.8888888888888888
92,0,92,0.6,0.6777777777777778
93,0,93,0.6333333333333333,0.8222222222222222
94,0,94,0.6777777777777778,0.6
95,0,95,0.6111111111111112,0.5222222222222221
96,0,96,0.8,0.8111111111111111
97,0,97,0.5888888888888888,0.6777777777777778
98,0,98,0.6444444444444444,0.8666666666666667
99,0,99,0.7333333333333333,0.7555555555555555
100,0,100,0.711111111111111,0.8777777777777778
101,0,101,0.6666666666666667,0.8666666666666667
102,0,102,0.5444444444444445,0.6
103,0,103,0.6444444444444444,0.8333333333333334
104,0,104,0.4666666666666667,0.7333333333333334
105,0,105,0.47777777777777775,0.9333333333333333
106,0,106,0.5222222222222221,0.7999999999999999
107,0,107,0.5222222222222221,0.6777777777777778
108,0,108,0.5,0.7555555555555555
109,0,109,0.6666666666666667,0.7777777777777777
110,0,110,0.7222222222222221,0.8111111111111111
111,0,111,0.7,0.8333333333333333
112,0,112,0.6444444444444444,0.5888888888888888
113,0,113,0.6444444444444444,0.9777777777777777
114,0,114,0.5888888888888888,0.8111111111111111
115,0,115,0.6888888888888889,0.7444444444444445
116,0,116,0.7,0.8444444444444443
117,0,117,0.611111111111111,0.8666666666666667
118,0,118,0.7333333333333334,0.8777777777777778
119,0,119,0.6444444444444444,0.8222222222222222
120,0,120,0.7,0.7555555555555555
121,0,121,0.8,0.8333333333333333
122,0,122,0.7666666666666666,0.5444444444444444
123,0,123,0.7777777777777777,0.9111111111111111
124,0,124,0.7,0.8777777777777778
