sid,grp,cnd,range,rpc,rdpc
279,1,1,5.00000000,-1.00000000,-0.80000000
280,1,1,4.00000000,0.00000000,0.00000000
281,1,0,5.00000000,-0.20000000,0.80000000
282,1,1,5.00000000,0.80000000,0.60000000
283,1,0,3.00000000,0.80000000,0.80000000
284,1,1,10.00000000,-0.80000000,1.00000000
285,1,1,7.00000000,-0.80000000,0.00000000
286,1,1,2.00000000,-0.80000000,-0.20000000
287,1,0,5.00000000,-1.00000000,-1.00000000
288,1,0,3.00000000,0.00000000,-0.80000000
289,1,0,10.00000000,-0.80000000,0.00000000
290,1,1,4.00000000,-0.80000000,0.40000000
291,1,1,4.00000000,-0.80000000,-0.40000000
292,1,1,5.00000000,1.00000000,0.40000000
293,1,1,6.00000000,-0.80000000,-0.40000000
294,1,1,2.00000000,1.00000000,1.00000000
295,1,0,6.00000000,-0.20000000,-0.60000000
296,1,0,8.00000000,0.80000000,-0.40000000
297,1,1,6.00000000,-1.00000000,0.40000000
298,1,0,5.00000000,0.00000000,0.00000000
299,1,1,9.00000000,-0.40000000,-0.20000000
300,1,0,6.00000000,-1.00000000,-0.20000000
301,1,0,6.00000000,-1.00000000,0.00000000
302,1,1,5.00000000,-0.20000000,-0.80000000
303,1,1,6.00000000,0.80000000,0.00000000
304,1,1,2.00000000,-0.40000000,0.40000000
305,1,1,8.00000000,-0.80000000,0.40000000
306,1,1,7.00000000,-0.80000000,1.00000000
307,1,1,7.00000000,-1.00000000,0.00000000
308,1,1,7.00000000,-0.40000000,-0.60000000
309,1,0,4.00000000,-0.80000000,0.00000000
310,1,1,7.00000000,0.40000000,0.40000000
311,1,1,5.00000000,-1.00000000,0.40000000
312,1,1,10.00000000,-0.80000000,-0.40000000
313,1,1,5.00000000,-0.40000000,0.40000000
314,1,1,6.00000000,0.40000000,-0.20000000
315,1,0,4.00000000,0.00000000,0.00000000
316,1,1,7.00000000,-0.80000000,-0.80000000
317,1,0,9.00000000,-1.00000000,0.20000000
318,1,0,5.00000000,0.00000000,0.00000000
319,1,0,8.00000000,0.80000000,1.00000000
320,1,1,6.00000000,-1.00000000,-0.40000000
321,1,1,7.00000000,-0.20000000,0.20000000
322,1,0,6.00000000,-0.80000000,-0.40000000
323,1,1,4.00000000,0.00000000,0.00000000
324,1,0,5.00000000,-0.80000000,0.20000000
325,1,0,2.00000000,0.00000000,0.00000000
326,1,0,4.00000000,0.00000000,0.00000000
327,1,1,2.00000000,0.00000000,0.00000000
328,1,0,4.00000000,0.00000000,0.00000000
329,1,0,8.00000000,-0.60000000,-0.80000000
